hafta,turkce,ingilizce_v1,ingilizce_v2
1,Yatağı toplamak,Make the bed,made the bed
1,Ütü yapmak,Do the ironing,did the ironing
1,Alışveriş yapmak,Do the shopping,did the shopping
1,Bulaşıkları yıkamak,Do the dishes,did the dishes
1,Masayı kurmak,Set the table,set the table
1,Masayı toplamak,Clear the table,cleared the table
1,Akşam yemeği pişirmek,Cook dinner,cooked dinner
1,Yemek sipariş etmek,Order food,ordered food
1,Duş almak,Have a shower,had a shower
1,Banyo yapmak,Take a bath,took a bath
1,Saçını taramak,Brush your hair,brushed your hair
1,Köpeği gezdirmek,Walk the dog,walked the dog
1,Kediyi beslemek,Feed the cat,fed the cat
1,Bitkileri sulamak,Water the plants,watered the plants
1,Mola vermek,Take a break,took a break
1,Şekerleme yapmak,Have a nap,had a nap
1,Postayı kontrol etmek,Check the mail,checked the mail
1,Faturaları ödemek,Pay the bills,paid the bills
1,Kapıyı açmak (kilidi),Unlock the door,unlocked the door
1,Kapıyı kilitlemek,Lock the door,locked the door
1,Işıkları açmak,Turn on the lights,turned on the lights
1,Televizyonu kapatmak,Turn off the TV,turned off the TV
1,Pencereyi kapatmak,Close the window,closed the window
1,Perdeleri açmak,Open the curtains,opened the curtains
1,Kahve yapmak,Make a coffee,made a coffee
2,Çay demlemek,Brew some tea,brewed some tea
2,İçecek doldurmak,Pour a drink,poured a drink
2,Kahvaltı yapmak,Eat breakfast,ate breakfast
2,Atıştırmalık yemek,Have a snack,had a snack
2,Yumurta kırmak,Break an egg,broke an egg
2,Ekmek kızartmak,Toast some bread,toasted some bread
2,Alarmı kurmak,Set the alarm,set the alarm
2,Su kaynatmak,Boil water,boiled water
2,Patates soymak,Peel a potato,peeled a potato
2,Ekmeği dilimlemek,Slice the bread,sliced the bread
2,Sofrayı kurmak,Lay the table,laid the table
2,Ellerini yıkamak,Wash your hands,washed your hands
2,Ödev yapmak,Do homework,did homework
2,Rapor yazmak,Write a report,wrote a report
2,göndermek,Send an email,sent an email E-posta
2,Telefona cevap vermek,Answer the phone,answered the phone
2,Telefon görüşmesi yapmak,Make a call,made a call
2,Toplantıya katılmak,Attend a meeting,attended a meeting
2,Sunum yapmak,Give a presentation,gave a presentation
2,Takım elbise giymek,Wear a suit,wore a suit
2,Ayakkabı bağlamak,Tie your shoes,tied your shoes
2,Sakal tıraşı olmak,Shave your beard,shaved your beard
2,Ayakkabıları parlatmak,Polish your shoes,polished your shoes
2,Telefonu şarj etmek,Charge your phone,charged your phone
2,Bilet ayırtmak,Book a ticket,booked a ticket
3,Çantanı toplamak,Pack your bag,packed your bag
3,Otobüse yetişmek,Catch the bus,caught the bus
3,Treni kaçırmak,Miss the train,missed the train
3,Araba sürmek,Drive a car,drove a car
3,Bisiklet sürmek,Ride a bike,rode a bike
3,Arabayı benzinle doldurmak,Fill up the car,filled up the car
3,Frenleri kontrol etmek,Check the brakes,checked the brakes
3,Hikaye anlatmak,Tell a story,told a story
3,Yalan söylemek,Tell a lie,told a lie
3,Doğruyu söylemek,Tell the truth,told the truth
3,Soru sormak,Ask a question,asked a question
3,Tavsiye vermek,Give advice,gave advice
3,Fotoğraf çekmek,Take a photo,took a photo
3,Gönderi paylaşmak,Share a post,shared a post
3,Oyun oynamak,Play a game,played a game
3,Şarkı söylemek,Sing a song,sang a song
3,Gitar çalmak,Play the guitar,played the guitar
3,Film izlemek,Watch a movie,watched a movie
3,Kitap okumak,Read a book,read a book
3,Müzik dinlemek,Listen to music,listened to music
3,Mesaj göndermek,Send a message,sent a message
3,Şaka yapmak,Make a joke,made a joke
3,Sohbet etmek,Have a conversation,had a conversation
3,Dilek tutmak,Make a wish,made a wish
3,Sır tutmak,Keep a secret,kept a secret
4,Sözünü tutmamak,Break a promise,broke a promise
4,Hata yapmak,Make a mistake,made a mistake
4,Çözüm bulmak,Find a solution,found a solution
4,Özrü kabul etmek,Accept an apology,accepted an apology
4,Yardım teklif etmek,Offer help,offered help
4,İl-tifat etmek,Give a compliment,gave a compliment
4,Bahane uydurmak,Make an excuse,made an excuse
4,İlaç almak/içmek,Take medicine,took medicine
4,Doktora gitmek,See a doctor,saw a doctor
4,Randevu almak,Make an appointment,made an appointment
4,Ağrı/acı hissetmek,Feel pain,felt pain
4,Kilo vermek,Lose weight,lost weight
4,Diyet yapmak,Go on a diet,went on a diet
4,Bakkaliye almak,Buy groceries,bought groceries
4,Para harcamak,Spend money,spent money
4,Para biriktirmek,Save money,saved money
4,Para kazanmak,Earn money,earned money
4,Ödül kazanmak,Win a prize,won a prize
4,Kelepir bulmak,Find a bargain,found a bargain
4,İnternetten bir şey sipariş etmek,Order something online,ordered something online
4,Ürünü iade etmek,Return a product,returned a product
4,Kıyafetleri denemek,Try on clothes,tried on clothes
4,Kartla ödemek,Pay by card,paid by card
4,Fiş almak,Get a receipt,got a receipt
4,Oda rezervasyonu yapmak,Book a room,booked a room
5,Araba kiralamak,Rent a car,rented a car
5,Bavulunu hazırlamak,Pack your suitcase,packed your suitcase
